relation	concept	tsne_x	tsne_y
institution	/education/education/institution_/en/city_college_of_new_york	3.138	5.654
nationality	/people/person/nationality_/en/kingdom_of_england	2.698	4.541
profession	/people/person/profession_/en/actor	4.395	5.622
profession	/people/person/profession_/en/science_writer	0.989	4.239
nationality	/people/person/nationality_/en/south_korea	3.977	8.342
nationality	/people/person/nationality_/en/kingdom_of_great_britain	4.859	5.033
institution	/education/education/institution_/en/purdue_university	3.614	6.861
institution	/education/education/institution_/en/miami_university	1.696	2.975
institution	/education/education/institution_/en/ecole_normale_superieure	0.817	3.466
profession	/people/person/profession_/en/singer	7.568	1.940
institution	/education/education/institution_/en/university_of_wurzburg	6.010	4.949
profession	/people/person/profession_/en/philosopher	3.851	6.012
institution	/education/education/institution_/en/utrecht_university	5.719	4.452
profession	/people/person/profession_/en/civil_engineer	4.586	4.788
nationality	/people/person/nationality_/en/finland	3.183	7.760
institution	/education/education/institution_/en/howard_university	5.386	6.891
profession	/people/person/profession_/en/editor	4.132	5.154
institution	/education/education/institution_/en/rugby_school	6.482	5.019
profession	/people/person/profession_/en/psychologist	5.945	4.925
institution	/education/education/institution_/en/bates_college	5.339	4.398
profession	/people/person/profession_/en/jockey	6.163	4.152
profession	/people/person/profession_/en/record_producer	2.228	8.926
profession	/people/person/profession_/en/opera_composer	5.877	8.577
profession	/people/person/profession_/en/samurai	3.939	6.357
profession	/people/person/profession_/en/violinist	5.826	6.126
gender	/people/person/gender_/en/female	4.194	7.828
profession	/people/person/profession_/en/graphic_designer	3.614	6.269
profession	/people/person/profession_/en/physician	7.329	7.991
institution	/education/education/institution_/en/louisiana_state_university	4.253	5.424
profession	/people/person/profession_/en/pope	5.454	10.000
profession	/people/person/profession_/en/journalist	4.304	5.099
profession	/people/person/profession_/en/professional_road_racing_cyclist	4.666	3.585
nationality	/people/person/nationality_/en/greece	6.345	4.427
profession	/people/person/profession_/en/composer	8.278	7.850
institution	/education/education/institution_/en/university_of_konigsberg	0.838	4.786
institution	/education/education/institution_/en/juilliard_school	5.573	6.586
profession	/people/person/profession_/en/revolutionary	3.868	5.441
profession	/people/person/profession_/en/publishing	4.021	5.176
nationality	/people/person/nationality_/en/germany	3.505	3.478
profession	/people/person/profession_/en/generalissimo	2.509	3.797
profession	/people/person/profession_/en/philanthropist	7.105	2.275
profession	/people/person/profession_/en/magician	5.069	5.833
profession	/people/person/profession_/en/economist	7.660	3.621
nationality	/people/person/nationality_/en/argentina	1.971	3.658
institution	/education/education/institution_/en/ecole_polytechnique	5.676	1.367
profession	/people/person/profession_/en/swimmer	4.990	7.175
profession	/people/person/profession_/en/pornographic_actor	3.893	6.541
profession	/people/person/profession_/en/dictator	7.156	7.112
institution	/education/education/institution_/en/michigan_state_university	3.785	6.195
profession	/people/person/profession_/en/diplomat	5.737	5.255
institution	/education/education/institution_/en/university_of_leipzig	3.029	6.193
nationality	/people/person/nationality_/en/austria-hungary	2.355	1.747
profession	/people/person/profession_/en/model	4.550	5.662
institution	/education/education/institution_/en/virginia_military_institute	2.822	6.762
nationality	/people/person/nationality_/en/serbia	1.848	7.424
nationality	/people/person/nationality_/en/republic_of_ireland	5.210	5.654
nationality	/people/person/nationality_/en/pakistan	4.781	7.253
profession	/people/person/profession_/en/surveying	1.878	4.847
nationality	/people/person/nationality_/en/israel	6.944	5.628
institution	/education/education/institution_/en/eton_college	2.834	7.029
profession	/people/person/profession_/en/american_football_player	3.178	5.097
nationality	/people/person/nationality_/en/iceland	5.037	4.490
nationality	/people/person/nationality_/en/canada	7.558	5.155
institution	/education/education/institution_/en/queens_college_cambridge	3.608	5.605
institution	/education/education/institution_/en/technical_university_of_berlin	3.714	5.187
profession	/people/person/profession_/en/psychiatrist	5.999	4.950
profession	/people/person/profession_/en/inventor	5.989	6.397
institution	/education/education/institution_/en/tulane_university	2.846	3.939
profession	/people/person/profession_/en/cardinal	6.090	6.668
institution	/education/education/institution_/en/university_of_florida	7.189	6.520
institution	/education/education/institution_/en/royal_college_of_music	6.750	5.544
profession	/people/person/profession_/en/botanist	5.056	6.278
profession	/people/person/profession_/en/professional_boxer	6.447	4.788
institution	/education/education/institution_/en/university_of_pittsburgh	1.151	5.224
institution	/education/education/institution_/en/college_of_william_and_mary	1.043	6.710
profession	/people/person/profession_/en/roman_emperor	4.229	4.327
institution	/education/education/institution_/en/university_of_texas_at_austin	6.307	8.069
nationality	/people/person/nationality_/en/russia	5.962	5.819
nationality	/people/person/nationality_/en/nigeria	5.190	6.306
profession	/people/person/profession_/en/jurist	4.426	3.227
profession	/people/person/profession_/en/theatre_direction	3.336	1.710
institution	/education/education/institution_/en/university_of_melbourne	5.424	1.582
nationality	/people/person/nationality_/en/mexico	6.870	5.956
profession	/people/person/profession_/en/ice_hockey_player	7.083	4.122
nationality	/people/person/nationality_/en/belgium	4.168	3.706
institution	/education/education/institution_/en/dartmouth_college	4.078	3.351
profession	/people/person/profession_/en/minister_of_religion	2.652	6.876
institution	/education/education/institution_/en/university_of_virginia	3.708	6.379
nationality	/people/person/nationality_/en/thailand	7.258	7.184
profession	/people/person/profession_/en/lecturer	3.386	4.557
profession	/people/person/profession_/en/jazz_pianist	5.274	6.788
institution	/education/education/institution_/en/georgetown_university	3.708	7.169
institution	/education/education/institution_/en/university_of_coimbra	3.222	6.415
nationality	/people/person/nationality_/en/italy	0.563	5.360
nationality	/people/person/nationality_/en/india	3.577	2.918
profession	/people/person/profession_/en/poet	5.132	4.842
profession	/people/person/profession_/en/lexicographer	4.989	4.999
profession	/people/person/profession_/en/banker	3.903	5.961
institution	/education/education/institution_/en/baylor_university	3.832	3.506
institution	/education/education/institution_/en/marlborough_college	5.683	3.713
nationality	/people/person/nationality_/en/new_zealand	3.572	7.048
institution	/education/education/institution_/en/dickinson_college	1.429	5.363
institution	/education/education/institution_/en/university_of_warsaw	4.412	5.830
institution	/education/education/institution_/en/emmanuel_college_cambridge	2.800	6.833
institution	/education/education/institution_/en/greshams_school	4.884	6.778
institution	/education/education/institution_/en/royal_military_academy_sandhurst	5.179	5.368
institution	/education/education/institution_/en/harrow_school	1.757	5.694
institution	/education/education/institution_/en/balliol_college_oxford	6.775	2.305
profession	/people/person/profession_/en/serial_killer	3.411	6.450
profession	/people/person/profession_/en/mayor	3.761	9.338
institution	/education/education/institution_/en/pembroke_college_cambridge	3.625	5.515
institution	/education/education/institution_/en/california_institute_of_technology	3.177	5.834
institution	/education/education/institution_/en/st_johns_college_oxford	3.192	6.529
profession	/people/person/profession_/en/physicist	4.037	4.992
profession	/people/person/profession_/en/cartoonist	8.129	3.826
institution	/education/education/institution_/en/kings_college_cambridge	2.857	6.987
profession	/people/person/profession_/en/nurse	4.108	6.125
nationality	/people/person/nationality_/en/iran	6.990	5.134
institution	/education/education/institution_/en/london_school_of_economics	4.237	1.041
institution	/education/education/institution_/en/phillips_exeter_academy	4.035	3.481
profession	/people/person/profession_/en/first_lady	2.991	5.811
institution	/education/education/institution_/en/boston_university	3.679	5.743
institution	/education/education/institution_/en/university_of_the_philippines	4.214	7.367
profession	/people/person/profession_/en/drummer	6.456	5.208
nationality	/people/person/nationality_/en/indonesia	4.603	4.576
institution	/education/education/institution_/en/princeton_university	1.083	3.138
profession	/people/person/profession_/en/business_magnate	4.451	6.005
institution	/education/education/institution_/en/stuyvesant_high_school	4.214	5.473
nationality	/people/person/nationality_/en/czech_republic	2.665	4.037
institution	/education/education/institution_/en/massachusetts_institute_of_technology	4.943	1.845
nationality	/people/person/nationality_/en/romania	4.956	4.318
institution	/education/education/institution_/en/stanford_university	6.895	2.521
profession	/people/person/profession_/en/painter	5.840	5.550
nationality	/people/person/nationality_/en/sri_lanka	1.754	6.291
institution	/education/education/institution_/en/university_of_tokyo	3.957	6.349
nationality	/people/person/nationality_/en/venezuela	4.447	7.837
profession	/people/person/profession_/quotationsbook/subject/business	2.954	6.439
profession	/people/person/profession_/en/tv_anchorperson	5.214	4.307
institution	/education/education/institution_/en/university_college_oxford	3.524	6.170
institution	/education/education/institution_/en/phillips_academy	3.971	7.204
institution	/education/education/institution_/en/trinity_hall_cambridge	4.635	6.371
institution	/education/education/institution_/en/humboldt_university_of_berlin	5.999	4.795
institution	/education/education/institution_/en/university_of_aberdeen	3.271	3.094
institution	/education/education/institution_/en/universite_laval	4.850	6.006
profession	/people/person/profession_/en/teacher	0.799	5.492
institution	/education/education/institution_/en/harvard_law_school	4.977	8.788
institution	/education/education/institution_/en/cornell_university	5.522	4.378
profession	/people/person/profession_/en/opera_singer	4.959	8.135
profession	/people/person/profession_/en/aerospace_engineer	3.747	5.087
institution	/education/education/institution_/en/bachelor_of_arts	2.831	6.198
profession	/people/person/profession_/en/electrical_engineer	5.289	4.642
profession	/people/person/profession_/en/art_critic	7.334	2.795
profession	/people/person/profession_/en/film_producer	5.620	6.102
nationality	/people/person/nationality_/en/russian_empire	0.045	4.851
institution	/education/education/institution_/en/university_of_copenhagen	6.655	1.165
profession	/people/person/profession_/en/bandleader	5.638	5.351
nationality	/people/person/nationality_/en/bolivia	2.384	6.273
institution	/education/education/institution_/en/university_of_illinois_at_urbana-champaign	2.608	4.772
profession	/people/person/profession_/en/test_pilot	6.299	7.080
institution	/education/education/institution_/en/university_of_pennsylvania	2.907	5.997
profession	/people/person/profession_/en/baseball_player	3.558	7.891
institution	/education/education/institution_/en/oberlin_college	3.863	6.153
nationality	/people/person/nationality_/en/bangladesh	2.345	5.661
nationality	/people/person/nationality_/en/switzerland	3.789	3.831
profession	/people/person/profession_/en/historian	5.960	3.445
institution	/education/education/institution_/en/kings_college_london	1.688	3.425
nationality	/people/person/nationality_/en/japan	4.008	6.493
profession	/people/person/profession_/en/astrologer	3.911	4.762
institution	/education/education/institution_/en/university_of_chicago	8.267	6.825
profession	/people/person/profession_/en/nude_glamour_model	2.571	6.660
profession	/people/person/profession_/en/pianist	8.419	7.911
institution	/education/education/institution_/en/groton_school	3.001	6.446
profession	/people/person/profession_/en/politician	8.597	5.777
nationality	/people/person/nationality_/en/colombia	6.622	6.202
profession	/people/person/profession_/en/astronaut	6.299	7.080
nationality	/people/person/nationality_/en/austria	4.589	2.202
institution	/education/education/institution_/en/university_of_bucharest	4.865	4.382
nationality	/people/person/nationality_/en/ukraine	4.576	6.864
profession	/people/person/profession_/en/costume_designer	4.821	2.490
profession	/people/person/profession_/en/translator	3.029	5.710
institution	/education/education/institution_/en/pennsylvania_state_university	4.015	7.630
profession	/people/person/profession_/en/lawyer	3.361	5.080
institution	/education/education/institution_/en/harvard_college	6.209	3.947
institution	/education/education/institution_/en/school_of_the_art_institute_of_chicago	2.736	5.559
institution	/education/education/institution_/en/university_of_iowa	5.198	6.943
institution	/education/education/institution_/en/university_of_edinburgh	4.516	3.630
institution	/education/education/institution_/en/university_of_cincinnati	3.585	6.744
profession	/people/person/profession_/en/author	3.715	5.466
profession	/people/person/profession_/en/screenwriter	3.020	6.071
institution	/education/education/institution_/en/ruprecht_karl_university_of_heidelberg	3.702	2.184
profession	/people/person/profession_/en/radio_personality	3.035	5.137
profession	/people/person/profession_/en/tribal_chief	7.737	7.143
institution	/education/education/institution_/en/lycee_louis_le_grand	4.380	6.891
nationality	/people/person/nationality_/en/scotland	8.408	4.690
institution	/education/education/institution_/en/winchester_college	4.682	7.052
profession	/people/person/profession_/en/holy_roman_emperor	7.517	6.309
nationality	/people/person/nationality_/en/brazil	4.741	4.158
institution	/education/education/institution_/en/university_of_missouri_columbia	4.808	5.162
profession	/people/person/profession_/en/television_writer	1.879	6.109
profession	/people/person/profession_/en/computer_scientist	2.353	8.349
institution	/education/education/institution_/en/university_of_st_andrews	8.542	4.672
profession	/people/person/profession_/en/general	5.664	5.818
institution	/education/education/institution_/en/willamette_university	6.275	5.271
institution	/education/education/institution_/en/university_of_bonn	2.882	8.481
institution	/education/education/institution_/en/university_of_wisconsin	2.446	6.107
institution	/education/education/institution_/en/yale_college	3.537	4.963
institution	/education/education/institution_/en/magdalen_college_oxford	3.283	6.060
profession	/people/person/profession_/en/songwriter	2.262	8.852
nationality	/people/person/nationality_/en/hungary	2.996	2.830
nationality	/people/person/nationality_/en/united_states	2.248	4.821
nationality	/people/person/nationality_/en/soviet_union	4.718	8.804
institution	/education/education/institution_/en/amherst_college	5.769	3.842
institution	/education/education/institution_/en/jesus_college_cambridge	4.131	5.733
profession	/people/person/profession_/en/surgeon	4.941	3.443
profession	/people/person/profession_/en/wrestler	4.138	8.690
institution	/education/education/institution_/en/brown_university	5.469	9.032
institution	/education/education/institution_/en/mcgill_university	5.029	5.111
profession	/people/person/profession_/en/musician	3.667	3.942
institution	/education/education/institution_/en/ohio_state_university	3.274	5.358
institution	/education/education/institution_/en/university_of_strasbourg	2.879	3.612
institution	/education/education/institution_/en/university_of_oxford	1.504	7.515
profession	/people/person/profession_/en/sailor	3.109	6.317
institution	/education/education/institution_/en/university_of_toronto	3.124	6.586
profession	/people/person/profession_/en/priest	1.887	3.209
profession	/people/person/profession_/en/critic	8.555	3.132
institution	/education/education/institution_/en/university_of_notre_dame	3.220	5.251
institution	/education/education/institution_/en/st_johns_college_cambridge	4.750	1.719
profession	/people/person/profession_/en/entrepreneur	5.387	6.634
institution	/education/education/institution_/en/jesus_college_oxford	2.230	5.733
profession	/people/person/profession_/en/businessperson	5.406	6.643
institution	/education/education/institution_/en/united_states_naval_academy	3.200	4.251
profession	/people/person/profession_/en/chef	6.668	5.749
profession	/people/person/profession_/en/nobleman	0.000	4.839
institution	/education/education/institution_/en/rutgers_university	2.650	5.491
profession	/people/person/profession_/en/emperor	4.032	6.685
institution	/education/education/institution_/en/new_college_oxford	4.663	7.035
institution	/education/education/institution_/en/harvard_medical_school	5.765	5.077
profession	/people/person/profession_/en/attorney_at_law	3.218	4.750
institution	/education/education/institution_/en/brasenose_college_oxford	2.952	7.618
institution	/education/education/institution_/en/fordham_university	1.045	5.238
profession	/people/person/profession_/user/jamie/wordnet/word/pacifist	4.385	6.285
institution	/education/education/institution_/en/eth_zurich	3.802	3.680
institution	/education/education/institution_/en/centre_college	1.789	4.686
institution	/education/education/institution_/en/presidency_college_kolkata	2.478	5.840
institution	/education/education/institution_/en/uppsala_university	2.649	7.326
institution	/education/education/institution_/en/university_of_nebraska_lincoln	4.269	5.811
institution	/education/education/institution_/en/harvard_university	3.997	5.679
institution	/education/education/institution_/en/university_of_california_los_angeles	7.263	2.512
profession	/people/person/profession_/en/golfer	6.356	6.063
institution	/education/education/institution_/en/oriel_college	3.004	4.772
institution	/education/education/institution_/en/wadham_college_oxford	2.035	6.264
institution	/education/education/institution_/en/conservatoire_de_paris	4.462	6.523
institution	/education/education/institution_/en/upper_canada_college	3.058	6.706
nationality	/people/person/nationality_/en/chile	3.984	4.453
profession	/people/person/profession_/en/singer-songwriter	7.606	1.894
profession	/people/person/profession_/en/missionary	3.781	7.027
nationality	/people/person/nationality_/en/germans	6.350	4.639
institution	/education/education/institution_/en/university_of_south_carolina	6.405	6.336
profession	/people/person/profession_/en/chaplain	5.820	4.644
nationality	/people/person/nationality_/en/turkey	2.124	7.106
profession	/people/person/profession_/en/geologist	3.523	5.403
institution	/education/education/institution_/en/university_of_washington	4.174	1.315
profession	/people/person/profession_/en/animator	4.221	5.285
institution	/education/education/institution_/en/university_of_tartu	6.847	6.484
institution	/education/education/institution_/en/central_school_of_speech_and_drama	2.368	6.007
profession	/people/person/profession_/en/dance	8.038	4.513
institution	/education/education/institution_/en/university_of_georgia	4.314	5.586
institution	/education/education/institution_/en/westminster_school	4.447	8.641
profession	/people/person/profession_/en/judge	8.739	4.400
institution	/education/education/institution_/en/university_of_london	4.022	5.977
profession	/people/person/profession_/en/pin-up_girl	3.849	8.756
profession	/people/person/profession_/en/art_director	4.839	2.419
institution	/education/education/institution_/en/christs_college_cambridge	2.517	7.018
institution	/education/education/institution_/en/university_of_paris	4.360	3.536
profession	/people/person/profession_/en/librarian	6.048	4.363
profession	/people/person/profession_/en/umpire	2.869	5.740
profession	/people/person/profession_/en/presenter	2.906	2.097
nationality	/people/person/nationality_/en/france	3.853	8.058
institution	/education/education/institution_/en/new_york_university	7.841	2.735
institution	/education/education/institution_/en/boston_latin_school	5.202	3.813
institution	/education/education/institution_/en/indiana_university	4.317	4.576
nationality	/people/person/nationality_/en/england	4.586	6.120
institution	/education/education/institution_/en/georg-august_university_of_gottingen	2.168	2.106
profession	/people/person/profession_/en/mountaineering	3.850	6.556
institution	/education/education/institution_/en/transylvania_university	1.948	4.587
nationality	/people/person/nationality_/en/singapore	4.749	4.525
profession	/people/person/profession_/en/comedian	5.681	1.749
institution	/education/education/institution_/en/northwestern_university	6.703	8.627
profession	/people/person/profession_/en/financier	4.384	5.996
profession	/people/person/profession_/en/cinematographer	3.999	5.889
profession	/people/person/profession_/en/mechanical_engineer	3.132	8.748
nationality	/people/person/nationality_/en/spain	6.071	9.140
institution	/education/education/institution_/en/vassar_college	4.235	7.075
institution	/education/education/institution_/en/university_of_north_carolina_at_chapel_hill	5.148	3.217
institution	/education/education/institution_/en/ludwig_maximilians_university_of_munich	4.209	4.904
institution	/education/education/institution_/en/bowdoin_college	6.250	4.956
nationality	/people/person/nationality_/en/peru	0.241	7.572
institution	/education/education/institution_/en/yale_law_school	4.710	5.367
