relation	concept	tsne_x	tsne_y
generalizations	generalizations_concept:filmfestival	7.296	3.371
generalizations	generalizations_concept:county	4.964	5.714
generalizations	generalizations_concept:televisionstation	6.492	8.650
generalizations	generalizations_concept:website	3.788	2.695
generalizations	generalizations_concept:planet	8.825	5.157
generalizations	generalizations_concept:university	2.241	7.050
generalizations	generalizations_concept:physicalcharacteristic	5.081	4.595
generalizations	generalizations_concept:visualartmovement	4.553	5.214
generalizations	generalizations_concept:terroristorganization	4.546	4.475
generalizations	generalizations_concept:personalcareitem	1.989	7.663
generalizations	generalizations_concept:musicgenre	5.356	6.438
generalizations	generalizations_concept:weapon	2.910	8.320
generalizations	generalizations_concept:lake	7.321	3.628
generalizations	generalizations_concept:visualartform	6.983	3.286
generalizations	generalizations_concept:bank	8.442	5.067
generalizations	generalizations_concept:animal	4.651	1.533
generalizations	generalizations_concept:profession	6.789	2.610
generalizations	generalizations_concept:movie	5.377	3.777
generalizations	generalizations_concept:criminal	5.313	4.672
generalizations	generalizations_concept:creativework	4.713	4.723
generalizations	generalizations_concept:mollusk	5.013	5.441
generalizations	generalizations_concept:traditionalgame	2.697	6.385
generalizations	generalizations_concept:cardgame	2.698	6.385
generalizations	generalizations_concept:winery	6.283	3.355
generalizations	generalizations_concept:charactertrait	5.044	5.306
concept:generalizationof	concept:generalizationof_concept:website:links	7.889	5.288
generalizations	generalizations_concept:crimeorcharge	6.181	5.279
generalizations	generalizations_concept:braintissue	5.799	3.694
generalizations	generalizations_concept:buildingfeature	3.937	4.024
generalizations	generalizations_concept:creditunion	5.444	4.091
generalizations	generalizations_concept:trail	4.746	4.510
generalizations	generalizations_concept:bridge	5.639	3.698
generalizations	generalizations_concept:country	6.267	1.111
generalizations	generalizations_concept:personcanada	4.700	5.559
generalizations	generalizations_concept:stadiumoreventvenue	3.306	8.408
generalizations	generalizations_concept:mlsoftware	9.058	5.355
generalizations	generalizations_concept:museum	7.648	4.630
generalizations	generalizations_concept:kitchenitem	4.252	4.107
generalizations	generalizations_concept:park	8.008	4.707
generalizations	generalizations_concept:wine	3.550	3.995
generalizations	generalizations_concept:plant	6.729	0.550
generalizations	generalizations_concept:coach	7.666	0.987
generalizations	generalizations_concept:muscle	6.278	3.917
generalizations	generalizations_concept:videogamesystem	5.519	5.739
generalizations	generalizations_concept:magazine	5.776	6.357
generalizations	generalizations_concept:vein	5.125	0.456
generalizations	generalizations_concept:furniture	6.397	0.000
generalizations	generalizations_concept:politicalparty	8.379	2.664
generalizations	generalizations_concept:mlarea	2.954	5.349
generalizations	generalizations_concept:musicalbum	5.136	8.971
generalizations	generalizations_concept:vehicle	7.932	8.147
generalizations	generalizations_concept:athlete	6.723	6.068
generalizations	generalizations_concept:year	4.467	0.308
generalizations	generalizations_concept:bird	5.535	5.437
generalizations	generalizations_concept:hobby	9.076	2.057
generalizations	generalizations_concept:river	5.856	4.285
generalizations	generalizations_concept:musicartist	9.495	2.453
generalizations	generalizations_concept:amphibian	4.384	4.462
generalizations	generalizations_concept:bedroomitem	4.943	5.194
generalizations	generalizations_concept:politicsbill	5.648	4.334
generalizations	generalizations_concept:island	5.181	5.688
generalizations	generalizations_concept:olympics	5.852	0.473
generalizations	generalizations_concept:politicianus	5.562	2.860
generalizations	generalizations_concept:nonprofitorganization	7.079	3.489
generalizations	generalizations_concept:cognitiveactions	4.541	6.580
generalizations	generalizations_concept:cheese	7.681	3.554
generalizations	generalizations_concept:color	5.264	5.354
generalizations	generalizations_concept:arachnid	4.084	6.657
generalizations	generalizations_concept:perceptionevent	8.582	5.133
generalizations	generalizations_concept:skyscraper	6.548	3.499
generalizations	generalizations_concept:officeitem	1.501	1.806
generalizations	generalizations_concept:publication	3.773	2.662
generalizations	generalizations_concept:hallwayitem	5.502	4.841
generalizations	generalizations_concept:zoo	5.690	4.717
generalizations	generalizations_concept:journalist	6.182	2.395
generalizations	generalizations_concept:programminglanguage	6.879	3.520
generalizations	generalizations_concept:nerve	5.859	4.760
generalizations	generalizations_concept:physicsterm	4.940	0.194
generalizations	generalizations_concept:highway	4.429	4.749
generalizations	generalizations_concept:placeofworship	6.453	3.663
generalizations	generalizations_concept:bathroomitem	3.879	6.608
generalizations	generalizations_concept:protein	5.153	6.448
generalizations	generalizations_concept:flooritem	5.508	4.243
generalizations	generalizations_concept:celltype	5.523	3.593
generalizations	generalizations_concept:politicsissue	5.774	4.128
generalizations	generalizations_concept:personeurope	5.319	4.308
generalizations	generalizations_concept:tool	5.598	0.199
generalizations	generalizations_concept:writer	4.915	4.959
generalizations	generalizations_concept:condiment	7.121	3.271
generalizations	generalizations_concept:emotion	6.025	4.343
