relation	concept	tsne_x	tsne_y
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6776	2.315	9.150
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7403	9.196	6.150
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4361	9.394	7.171
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#59277	3.616	7.146
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#27316	6.773	1.667
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23512	8.830	6.127
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#26277	8.714	6.756
#gene-disease-association	#gene-disease-association_disease/mesh#D002292	4.065	2.661
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3680	3.864	7.748
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3908	3.543	7.060
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3915	3.500	7.140
#gene-disease-association	#gene-disease-association_disease/mesh#D005234	1.221	2.963
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6615	7.995	6.110
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8326	1.878	1.992
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5501	5.739	9.110
#gene-disease-association	#gene-disease-association_disease/mesh#D006333	3.509	3.190
#gene-disease-association	#gene-disease-association_disease/mesh#D007022	3.706	2.865
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6950	5.185	4.999
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10946	6.737	1.797
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9410	6.834	1.841
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6613	9.288	7.517
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8338	9.254	5.447
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7334	9.432	7.403
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#4218	6.665	4.631
#drug-has-target	#drug-has-target_protein/uniprot#P02774	1.669	5.342
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#348995	5.790	8.977
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#348235	5.295	9.112
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#6347	5.820	0.900
pathwaycommons#controls-expression-of	pathwaycommons#controls-expression-of_gene/entrez#10891	4.522	4.467
#gene-disease-association	#gene-disease-association_disease/mesh#D013226	4.458	2.261
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3696	3.636	7.519
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#3576	5.449	1.555
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6634	7.003	1.694
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5979	9.014	6.465
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6018	7.383	3.309
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3201	8.981	6.118
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7532	6.480	4.751
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5142	7.845	3.555
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2784	2.902	2.412
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#284217	3.689	7.222
pathwaycommons#controls-expression-of	pathwaycommons#controls-expression-of_gene/entrez#3200	4.354	4.476
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#165918	9.346	7.329
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2911	1.934	2.190
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7276	7.196	2.814
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#114791	7.223	4.410
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5981	6.008	3.086
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#22938	6.670	1.524
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51014	5.491	6.858
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#5108	7.161	5.447
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6710	5.606	6.685
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79441	7.595	5.073
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#5588	5.608	5.000
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2660	3.298	1.608
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#399687	7.004	8.220
#gene-disease-association	#gene-disease-association_disease/mesh#D016889	6.554	6.731
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#11200	9.305	7.491
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6774	2.236	9.087
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2335	4.041	8.016
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2786	2.659	2.368
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23047	5.852	9.132
pathwaycommons#controls-expression-of	pathwaycommons#controls-expression-of_gene/entrez#51129	5.789	4.321
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3514	8.777	3.126
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7336	9.427	7.426
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6777	2.269	9.199
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51773	8.141	6.571
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7775	7.321	2.686
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#1781	7.830	5.280
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#57722	8.725	3.019
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#128312	8.906	4.972
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4609	6.185	5.779
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8175	6.712	1.827
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8360	9.203	5.138
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#3383	5.455	1.055
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#151246	5.360	9.140
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2916	2.018	2.129
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#80012	7.759	3.372
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11339	8.323	6.537
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11091	9.510	6.121
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3624	3.290	1.675
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#56949	6.624	2.157
#gene-disease-association	#gene-disease-association_disease/mesh#D013375	3.830	2.674
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7042	3.286	1.579
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5519	5.622	9.194
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54386	8.709	6.764
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23451	6.824	1.668
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79718	8.540	5.589
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3691	3.685	7.595
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6778	2.353	9.098
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3921	5.180	4.998
#gene-disease-association	#gene-disease-association_disease/mesh#D019969	3.795	1.517
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3625	3.281	1.667
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5527	5.540	9.272
#gene-disease-association	#gene-disease-association_disease/mesh#D005910	4.354	5.427
#gene-disease-association	#gene-disease-association_disease/mesh#C538231	6.010	5.290
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8085	9.217	6.137
#gene-disease-association	#gene-disease-association_disease/mesh#D012640	3.758	2.525
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5290	5.300	3.755
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23064	7.258	3.035
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55355	8.323	6.584
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8202	9.237	5.905
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#29951	7.868	3.381
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#255189	7.751	3.311
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6233	5.849	3.004
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5116	7.058	5.057
pathwaycommons#chemical-affects	pathwaycommons#chemical-affects_gene/entrez#5970	5.730	0.785
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2914	2.017	2.130
#gene-disease-association	#gene-disease-association_disease/mesh#D011565	0.675	2.721
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7170	5.175	5.000
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4683	9.398	7.180
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9935	9.162	6.236
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#57654	5.966	2.908
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3679	3.928	7.753
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7703	8.940	6.177
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8294	8.915	5.221
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2788	2.647	2.406
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3200	8.988	6.152
#gene-disease-association	#gene-disease-association_disease/mesh#D008106	1.678	4.079
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#6775	2.448	9.175
#gene-disease-association	#gene-disease-association_disease/mesh#D010024	3.642	2.208
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6772	2.237	9.209
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79902	5.854	9.027
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3673	8.650	3.010
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2535	2.111	1.879
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8323	1.939	1.922
#gene-disease-association	#gene-disease-association_disease/mesh#D011014	0.640	3.104
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7976	1.926	1.916
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7200	3.594	1.756
pathwaycommons#controls-phosphorylation-of	pathwaycommons#controls-phosphorylation-of_gene/entrez#5595	5.901	3.900
#gene-disease-association	#gene-disease-association_disease/mesh#D003528	6.451	6.860
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#79728	7.996	3.378
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2912	2.116	1.997
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#399	8.556	9.265
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5436	9.886	6.224
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#51474	7.015	8.294
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#200728	5.150	3.244
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55596	6.878	2.055
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9672	2.968	7.613
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23421	8.277	6.691
pathwaycommons#controls-production-of	pathwaycommons#controls-production-of_chemical/chebi#16618	5.278	3.653
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3857	8.267	2.969
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5526	5.580	9.190
#gene-disease-association	#gene-disease-association_disease/mesh#D013274	6.379	6.421
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8359	9.148	5.082
#gene-disease-association	#gene-disease-association_disease/mesh#D006528	4.026	4.650
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5518	6.693	5.916
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#2316	6.876	8.065
#gene-disease-association	#gene-disease-association_disease/mesh#D003921	2.396	3.447
#gene-disease-association	#gene-disease-association_disease/mesh#D007249	0.319	2.755
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5985	6.014	3.231
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#55288	8.534	9.157
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6712	5.477	6.691
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5048	6.711	5.905
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6774	2.253	9.024
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3688	3.667	7.727
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#6491	0.000	1.893
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8368	9.128	5.190
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#83540	5.872	8.920
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#4957	7.158	5.061
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3725	6.229	4.246
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#6790	7.102	4.398
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#3720	8.622	3.088
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#54801	7.532	5.062
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#4635	8.262	3.371
#gene-disease-association	#gene-disease-association_disease/mesh#D019970	3.816	3.032
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#23423	5.572	6.864
#gene-disease-association	#gene-disease-association_disease/mesh#D012878	4.352	2.977
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2782	2.694	2.503
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#51764	2.771	2.433
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#54509	8.475	9.222
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3626	3.270	1.657
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6635	6.942	1.867
#gene-disease-association	#gene-disease-association_disease/mesh#D009422	4.102	2.604
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#9814	6.751	5.080
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10165	7.700	2.812
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#4893	4.826	4.129
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#7514	5.173	4.998
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10681	2.897	2.472
#gene-disease-association	#gene-disease-association_disease/mesh#D058186	3.222	2.930
#gene-disease-association	#gene-disease-association_disease/mesh#D009765	0.735	2.510
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#8363	9.148	5.079
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#354	8.566	3.172
#gene-disease-association	#gene-disease-association_disease/mesh#D015179	4.294	2.586
#drug-has-indication	#drug-has-indication_disease/mesh#D006973	8.838	4.284
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#10382	6.601	4.849
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#22801	4.019	7.881
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5020	3.622	1.724
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9967	7.588	2.629
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5929	9.507	6.126
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#2915	2.124	2.127
#gene-disease-association	#gene-disease-association_disease/mesh#D003110	2.925	3.977
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#7329	9.292	7.501
#gene-disease-association	#gene-disease-association_disease/mesh#D017449	0.272	3.211
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#55970	2.754	2.335
#gene-disease-association	#gene-disease-association_disease/mesh#D015427	0.360	2.530
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#10174	7.540	2.810
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5577	6.953	4.994
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#6613	9.297	7.393
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#5437	10.000	6.145
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3213	9.020	6.226
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#79867	6.857	4.705
#gene-disease-association	#gene-disease-association_disease/mesh#D018450	6.427	6.452
pathwaycommons#controls-state-change-of	pathwaycommons#controls-state-change-of_gene/entrez#57381	8.519	9.158
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7283	6.579	4.806
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#23315	7.505	2.851
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#11211	1.960	1.952
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#83729	3.271	1.640
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#9657	5.326	4.771
pathwaycommons#interacts-with	pathwaycommons#interacts-with_gene/entrez#79867	4.904	3.213
pathwaycommons#controls-transport-of	pathwaycommons#controls-transport-of_gene/entrez#6777	2.394	9.040
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#3655	3.938	7.783
#drug-has-target	#drug-has-target_protein/uniprot#P23141	1.640	5.190
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#146057	6.743	4.728
pathwaycommons#in-complex-with	pathwaycommons#in-complex-with_gene/entrez#7468	9.404	7.470
