id,value
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Hisponinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Lyssomaninae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Marpissinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Marpissiniae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Myrmarachninae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Pelleninae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Plexippinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Sitticinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Spartaeinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Synagelinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Jumping_spider.family_Synemosyninae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Lycosoidea,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Orb-weaver_spider,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Scytodoidea,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Sicariidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Tarantula,
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Tarantula.family_Theraphosinae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Theridiidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Thomisidae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Uloboridae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.family_Wolf_spider,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Araneomorphae,
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Araneomorphae.family_Araneoidea,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Araneomorphae.family_Archaeoidea,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Araneomorphae.family_Dictynoidea,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Araneomorphae.family_Linyphiidae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Araneomorphae.family_Zodariid_ground_spider,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Mesothelae,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Mygalomorphae,
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Mygalomorphae.family_Actinopodidae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Mygalomorphae.order_Fornicephalae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.order_Spider.order_Mygalomorphae.order_Tuberculotae,6
kingdom_Animal.phylum_Arthropod.class_Arachnid.phylum_Chelicerata,
kingdom_Animal.phylum_Arthropod.class_Arachnid.phylum_Chelicerata.class_Merostomata,5
kingdom_Animal.phylum_Arthropod.class_Arachnid.phylum_Chelicerata.class_Sea_spider,
kingdom_Animal.phylum_Arthropod.class_Arachnid.phylum_Chelicerata.class_Sea_spider.order_Sea_spider,6
kingdom_Animal.phylum_Arthropod.class_Centipede,3
kingdom_Animal.phylum_Arthropod.class_Insect,
kingdom_Animal.phylum_Arthropod.class_Insect.class_Pterygota,
kingdom_Animal.phylum_Arthropod.class_Insect.class_Pterygota.class_Neoptera,
kingdom_Animal.phylum_Arthropod.class_Insect.class_Pterygota.class_Neoptera.order_Endopterygota,6
kingdom_Animal.phylum_Arthropod.class_Insect.class_Pterygota.order_Exopterygota,5
kingdom_Animal.phylum_Arthropod.class_Insect.family_Blaberidae,4
kingdom_Animal.phylum_Arthropod.class_Insect.family_Blattidae,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Amphiesmenoptera,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Chrysomeloidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Coccinellidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Curculionidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Curculionidae.family_Curculioninae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Curculionidae.family_Dryophthorinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Darkling_beetle,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Elateroidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Firefly,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Ground_beetle,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Ground_beetle.family_Tiger_beetle,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Leaf_beetle,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Leaf_beetle.family_Criocerinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Leaf_beetle.family_Criocerini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Leaf_beetle.family_Galerucinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Longhorn_beetle,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Longhorn_beetle.family_Cerambycinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Longhorn_beetle.family_Lamiinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Longhorn_beetle.family_Prioninae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Nicrophorini,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Rove_beetle,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Scarabaeidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Scarabaeidae.family_Flower_chafer,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Scarabaeoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Staphylinoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Tenebrionoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.family_Weevil,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Adephaga,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Bostrichiformia,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Polyphaga,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Polyphaga.order_Cucujiformia,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Polyphaga.order_Elateriformia,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Scarabaeoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Beetle.order_Staphyliniformia,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Blattodea,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Blattodea.family_Blattellidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Blattodea.family_Corydiidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Caddisfly,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Caddisfly.order_Integripalpia,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Dictyoptera,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Flea,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Asiloidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Botfly,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Calliphoridae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Chironomidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Chironomidae.family_Orthocladiinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Drosophilidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Hippoboscoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Hoverfly,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Mosquito,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Moth_fly,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Muscoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Oestroidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Tephritidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.family_Tephritoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Brachycera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Brachycera.order_Asilomorpha,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Brachycera.order_Tabanomorpha,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Muscomorpha,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Nematocera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Nematocera.family_Chironomoidea,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Fly.order_Nematocera.order_Culicomorpha,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Cicada,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Coreidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Coreoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Leafhopper,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Reduviidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Reduviidae.family_Triatominae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.family_Scale_insect,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Auchenorrhyncha,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Auchenorrhyncha.order_Cicadomorpha,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Auchenorrhyncha.order_Cicadomorpha.family_Membracoidea,7
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Heteroptera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Heteroptera.family_Pentatomoidea,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Heteroptera.order_Cimicomorpha,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Nepomorpha,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Pentatomomorpha,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Sternorrhyncha,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Sternorrhyncha.family_Aphid,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hemiptera.order_Sternorrhyncha.family_Aphid.family_Aphididae,7
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Amblyoponinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Dolichoderinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Formicinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Myrmicinae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Myrmicinae.family_Fungus-growing_ants,7
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Myrmicinae.family_Myrmicini,7
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ant.family_Myrmicinae.family_Solenopsidini,7
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Apidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Apidae.family_Apinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Apoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Crabronidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Crabronidae.family_Bembicinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Ichneumonoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Megachilidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Sphecidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Vespidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Vespidae.family_Vespinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.family_Vespoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.order_Apocrita,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.order_Apocrita.family_Chalcid_wasp,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.order_Sawfly,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Hymenoptera.order_Sawfly.family_Tenthredinoidea,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Arctiinae_(erebid_moths),5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Bagworm_moth,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Bombycoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Drepanidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Erebidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Gelechioidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Geometer_moth,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Hepialidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Lasiocampidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Lycaenidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Lycaenidae.family_Polyommatini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Lymantriinae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Noctuidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Noctuidae.family_Apameini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Noctuoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Notodontidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Biblidinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Charaxinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Danaini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Heliconiini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Nymphalinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Nymphalini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Satyrinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Satyrini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Nymphalidae.family_Victorinini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Papilionoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Pieridae,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Pieridae.family_Anthocharini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Pieridae.family_Pierinae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Pieridae.family_Pierini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Pyraloidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Riodinidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Saturniidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Skipper_(butterfly),
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Skipper_(butterfly).family_Grass_Skippers,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Sphingidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Swallowtail_butterfly,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Swallowtail_butterfly.family_Papilioninae,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Swallowtail_butterfly.family_Troidini,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Tortricidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.family_Yponomeutoidea,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.order_Ditrysia,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.order_Glossata,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Lepidoptera.order_Glossata.order_Heteroneura,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Louse,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Mantis,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Mantis.family_Mantidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Neuroptera,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata.family_Aeshnidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata.family_Coenagrionidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata.family_Libellulidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata.order_Damselfly,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata.order_Dragonfly,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Odonata.order_Epiprocta,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Orthoptera,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Orthoptera.family_Acrididae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Orthoptera.family_Tettigoniidae,5
kingdom_Animal.phylum_Arthropod.class_Insect.order_Orthoptera.order_Grasshopper,
kingdom_Animal.phylum_Arthropod.class_Insect.order_Orthoptera.order_Grasshopper.family_Acridoidea,6
kingdom_Animal.phylum_Arthropod.class_Insect.order_Protodiptera,4
kingdom_Animal.phylum_Arthropod.class_Insect.order_Strepsiptera,4
kingdom_Animal.phylum_Arthropod.class_Millipede,3
kingdom_Animal.phylum_Arthropod.class_Trilobite,
kingdom_Animal.phylum_Arthropod.class_Trilobite.order_Phacopida,
kingdom_Animal.phylum_Arthropod.class_Trilobite.order_Phacopida.order_Phacopina,5
kingdom_Animal.phylum_Arthropod.class_Trilobite.order_Redlichiida,
kingdom_Animal.phylum_Arthropod.class_Trilobite.order_Redlichiida.order_Redlichiina,5
kingdom_Animal.phylum_Arthropod.order_Centipede,3
kingdom_Animal.phylum_Arthropod.phylum_Crustacean,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Branchiopoda,4
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.class_Eumalacostraca,5
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Amphipoda,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Amphipoda.family_Corophiidae,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Amphipoda.order_Corophiida,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Amphipoda.order_Gammaridea,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Astacidae,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Cambaridae,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Coenobitidae,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Crayfish,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Hermit_crab,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Lobster,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Parastacidae,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Penaeidae,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.family_Spiny_lobster,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Achelata,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Anomura,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Astacidea,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Caridea,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Caridea.family_Atyidae,7
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Crab,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Crab.family_Cancridae,7
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Crab.family_Gecarcinidae,7
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Crab.family_Portunidae,7
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Dendrobranchiata,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Decapoda.order_Pleocyemata,6
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Eucarida,5
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Isopoda,
kingdom_Animal.phylum_Arthropod.phylum_Crustacean.class_Malacostraca.order_Isopoda.order_Woodlouse,6
